DateID,LabID,OthLabID,Problems,CRA,Error,DC13,Material,Species,SiteID,SiteName,SiteContext,SiteType,Country,Longitude,Latitude,LocQual,Source,Comments
1927,Bln-3145,,,4750,60,,charcoal,Avicennia marina,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994; Biagi and Nisbet 1989,
1928,Bln-3146,,,4800,60,,charcoal,Avicennia marina,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994; Biagi and Nisbet 1989,
1929,Bln-3147,,,4920,60,,charcoal,Avicennia marina,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994,
1930,Bln-3148,,,4990,50,,charcoal,Avicennia marina,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994,
1931,Bln-3149,,,5480,60,,charcoal,Avicennia marina,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994; Biagi and Nisbet 1989,
1932,Bln-3150,,,4750,60,,charcoal,Avicennia,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994,
1933,Bln-3150A,,,4850,60,,charcoal,,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994,
1934,Bln-3151,,,4760,60,,charcoal,,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994,
1935,Bln-3152,,,4900,60,,charcoal,,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994,
1936,Bln-3153,,,4730,60,,charcoal,Avicennia marina,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994,
1937,Bln-3153A,,,4770,60,,charcoal,Avicennia marina,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994,
1938,Bln-3154,,,4870,60,,charcoal,Avicennia marina,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994,
1939,Bln-3155,,,4910,50,,charcoal,Avicennia marina,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994,
1940,Bln-3156,,,4920,60,,charcoal,,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994,
1941,Bln-3157,,,4840,60,,charcoal,,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994,
1942,Bln-3168,,,4840,60,,charcoal,Avicennia marina,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994; Biagi and Nisbet 1989,
1943,Bln-3393/I,,,5190,60,,,,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal,
1944,Bln-3393/II,,,5200,50,,,,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal,
1945,Bln-3394/I,,,5090,60,1.6,,,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal,
